date,Kjelavatn,Staavatn,Langesae,Foersvatn,Venemo,Botnedalsvatn,Bitdalsvatn,Vaamarvatn,Langeidvatn,Totak,Songavatn,Vinjevatn,Bandak,Bordalsvatn,Byrtevatn,Hyljelihyl,Vatjern
2015-01-01 00:00:00+00:00,42.352,17.472,56.669,92.15,18.263,32.999,92.404,9.796,30.541,170.219,492.379,6.672,137.785,166.063,63.929,0.13,0.15
2015-01-02 00:00:00+00:00,42.001,16.474,56.262,92.185,18.332,32.999,92.024,11.079,30.587,170.219,489.891,5.959,137.785,165.969,63.884,0.13,0.15
2015-01-03 00:00:00+00:00,41.494,15.36,55.753,92.079,18.356,32.743,91.786,12.257,30.587,170.219,487.126,6.445,137.785,165.733,63.703,0.13,0.15
2015-01-04 00:00:00+00:00,41.221,14.784,55.516,91.938,18.388,32.589,91.453,11.425,30.541,169.512,485.468,6.996,137.785,165.591,63.568,0.13,0.15
2015-01-05 00:00:00+00:00,41.182,14.63,55.482,91.903,18.388,32.538,91.025,10.143,30.541,169.512,485.191,7.028,137.785,165.544,63.522,0.13,0.15
2015-01-06 00:00:00+00:00,40.246,11.29,54.261,91.163,18.369,31.36,90.55,9.033,30.357,167.04,479.109,7.417,137.785,164.883,62.89,0.13,0.15
2015-01-07 00:00:00+00:00,39.856,9.907,53.786,90.881,18.344,30.848,90.074,9.865,30.312,166.334,475.792,7.028,138.769,164.599,62.619,0.13,0.15
2015-01-08 00:00:00+00:00,39.48,8.448,53.345,90.634,18.35,30.285,89.646,10.559,30.266,165.275,471.369,7.06,138.769,164.363,62.303,0.13,0.15
2015-01-09 00:00:00+00:00,39.222,6.758,52.938,90.352,18.369,29.85,89.266,9.865,30.266,164.215,468.881,6.931,139.754,164.174,62.032,0.13,0.15
2015-01-10 00:00:00+00:00,38.928,4.954,52.599,90.105,18.363,29.44,88.79,9.657,30.266,162.802,467.775,6.348,138.277,163.985,61.671,0.13,0.15
2015-01-11 00:00:00+00:00,38.671,3.994,52.362,89.964,18.35,29.21,88.648,10.281,30.22,161.743,466.946,5.959,137.293,163.844,61.445,0.13,0.15
2015-01-12 00:00:00+00:00,38.634,3.955,52.328,89.893,18.35,29.184,88.315,10.004,30.22,161.743,466.669,5.992,136.801,163.796,61.4,0.13,0.15
2015-01-13 00:00:00+00:00,37.899,3.187,51.514,88.412,18.381,28.698,88.029,11.183,30.312,162.449,460.311,6.38,136.309,162.757,60.226,0.13,0.15
2015-01-14 00:00:00+00:00,37.826,2.957,51.107,87.636,18.363,28.369,87.744,9.519,30.266,161.39,457.27,7.481,137.785,162.096,60.0,0.13,0.15
2015-01-15 00:00:00+00:00,37.679,2.765,50.7,86.825,18.332,28.076,87.364,8.097,30.266,160.684,455.059,7.708,137.293,161.482,59.819,0.13,0.15
2015-01-16 00:00:00+00:00,37.458,2.611,50.293,85.944,18.332,27.752,86.983,8.929,30.22,159.977,452.294,7.611,137.785,160.868,59.548,0.13,0.15
2015-01-17 00:00:00+00:00,37.201,2.573,49.852,84.992,18.332,27.366,86.65,9.172,30.128,159.977,449.253,6.445,137.293,160.112,59.232,0.13,0.15
2015-01-18 00:00:00+00:00,37.017,2.534,49.649,84.498,18.332,27.165,86.175,9.692,30.082,160.33,447.871,5.376,137.293,159.734,59.097,0.13,0.15
2015-01-19 00:00:00+00:00,36.98,2.534,49.581,84.392,18.332,27.134,85.699,10.385,30.082,160.33,447.595,5.409,136.309,159.64,59.051,0.13,0.15
2015-01-20 00:00:00+00:00,36.135,2.227,48.326,81.994,18.313,26.223,85.176,8.444,29.807,158.212,439.301,6.056,136.309,157.704,58.238,0.13,0.15
2015-01-21 00:00:00+00:00,35.731,2.227,47.783,81.042,18.294,25.791,84.7,7.889,29.715,157.505,435.984,5.182,136.309,156.853,57.877,0.13,0.15
2015-01-22 00:00:00+00:00,35.364,2.266,47.207,80.196,18.251,25.343,84.177,9.276,29.578,156.093,432.39,6.089,135.817,156.003,57.516,0.13,0.15
2015-01-23 00:00:00+00:00,34.959,2.342,46.63,79.455,18.207,24.88,83.702,8.34,29.44,154.68,429.073,5.927,135.817,155.153,57.2,0.13,0.15
2015-01-24 00:00:00+00:00,34.555,2.381,45.986,78.715,18.17,24.386,83.179,6.731,29.349,153.621,425.756,4.664,135.325,154.303,56.838,0.13,0.15
2015-01-25 00:00:00+00:00,34.334,2.381,45.613,78.327,18.158,24.139,82.703,9.103,29.303,153.267,424.097,4.502,134.341,153.878,56.658,0.13,0.15
2015-01-26 00:00:00+00:00,34.298,2.381,45.545,78.327,18.158,24.093,82.228,8.271,29.303,152.914,423.82,4.566,134.341,153.783,56.613,0.13,0.15
2015-01-27 00:00:00+00:00,33.305,2.227,43.714,77.939,18.189,22.827,81.704,7.473,29.028,147.617,415.804,5.927,133.356,151.705,55.619,0.13,0.15
2015-01-28 00:00:00+00:00,32.938,2.227,43.002,77.41,18.12,22.302,81.181,6.094,28.936,145.498,412.763,5.959,133.849,150.855,55.213,0.13,0.15
2015-01-29 00:00:00+00:00,32.534,2.342,42.357,76.599,18.189,21.762,80.706,6.663,28.798,143.732,409.445,6.218,134.833,150.005,54.851,0.13,0.15
2015-01-30 00:00:00+00:00,32.152,2.419,41.713,75.647,18.214,21.206,80.183,7.099,28.661,141.967,405.852,6.931,136.801,149.108,54.445,0.13,0.15
2015-01-31 00:00:00+00:00,31.756,2.381,41.137,74.765,18.226,20.65,79.66,5.86,28.569,139.848,402.258,6.769,139.754,148.21,54.038,0.13,0.15
2015-02-01 00:00:00+00:00,31.558,2.342,40.865,74.342,18.226,20.372,79.136,5.658,28.477,139.141,400.323,6.251,138.277,147.738,53.812,0.13,0.15
