date,Kjelavatn,Staavatn,Langesae,Foersvatn,Venemo,Botnedalsvatn,Bitdalsvatn,Vaamarvatn,Langeidvatn,Totak,Songavatn,Vinjevatn,Bandak,Bordalsvatn,Byrtevatn,Hyljelihyl,Vatjern
2015-01-01 00:00:00+00:00,40.49,40.49,31.81,31.81,28.98,38.7,30.13,28.98,4.78,28.98,30.13,22.65,7.73,31.81,9.32,28.98,4.78
2015-01-02 00:00:00+00:00,40.89,40.89,30.96,30.96,26.44,36.47,30.52,26.44,4.44,26.44,30.52,35.13,8.52,30.96,8.72,26.44,4.44
2015-01-03 00:00:00+00:00,40.87,40.87,30.51,30.51,26.36,36.35,30.39,26.36,4.28,26.36,30.39,35.3,10.18,30.51,8.43,26.36,4.28
2015-01-04 00:00:00+00:00,40.5,40.5,30.06,30.06,26.33,35.68,30.11,26.33,4.23,26.33,30.11,28.63,7.16,30.06,7.96,26.33,4.23
2015-01-05 00:00:00+00:00,39.51,39.51,29.35,29.35,26.06,34.59,29.58,26.06,3.89,26.06,29.58,31.33,3.14,29.35,7.4,26.06,3.89
2015-01-06 00:00:00+00:00,38.3,38.3,28.36,28.36,25.37,34.05,28.36,25.37,3.97,25.37,28.36,21.1,1.74,28.36,7.69,25.37,3.97
2015-01-07 00:00:00+00:00,37.19,37.19,27.95,27.95,25.2,33.75,27.99,25.2,3.88,25.2,27.99,17.6,0.01,27.95,7.13,25.2,3.88
2015-01-08 00:00:00+00:00,36.11,36.11,27.72,27.72,25.3,33.97,27.87,25.3,3.82,25.3,27.87,19.65,0.01,27.72,6.92,25.3,3.82
2015-01-09 00:00:00+00:00,34.97,34.97,27.84,27.84,25.37,33.97,27.68,25.37,3.67,25.37,27.68,26.86,0.01,27.84,6.75,25.37,3.67
2015-01-10 00:00:00+00:00,34.02,34.02,28.41,28.41,25.59,34.14,27.59,25.59,3.44,25.59,27.59,27.83,0.01,28.41,6.71,25.59,3.44
2015-01-11 00:00:00+00:00,33.33,33.33,29.0,29.0,26.16,34.41,27.65,26.16,3.38,26.16,27.65,35.91,0.01,29.0,6.21,26.16,3.38
2015-01-12 00:00:00+00:00,32.67,32.67,29.32,29.32,26.76,34.66,27.91,26.76,3.18,26.76,27.91,27.44,0.01,29.32,5.55,26.76,3.18
2015-01-13 00:00:00+00:00,33.54,33.54,31.02,31.02,27.66,36.32,29.0,27.66,2.83,27.66,29.0,16.59,0.01,31.02,7.34,27.66,2.83
2015-01-14 00:00:00+00:00,33.1,33.1,31.85,31.85,28.5,37.41,29.58,28.5,2.65,28.5,29.58,0.01,0.01,31.85,7.09,28.5,2.65
2015-01-15 00:00:00+00:00,32.4,32.4,32.37,32.37,29.0,37.94,29.82,29.0,2.4,29.0,29.82,4.53,0.01,32.37,6.65,29.0,2.4
2015-01-16 00:00:00+00:00,32.28,32.28,33.4,33.4,29.89,38.76,30.52,29.89,2.29,29.89,30.52,6.66,0.01,33.4,6.64,29.89,2.29
2015-01-17 00:00:00+00:00,33.14,33.14,35.45,35.45,31.72,40.89,32.27,31.72,2.29,31.72,32.27,40.96,0.01,35.45,6.97,31.72,2.29
2015-01-18 00:00:00+00:00,32.42,32.42,35.41,35.41,31.71,40.54,32.28,31.71,1.36,31.71,32.28,52.4,0.01,35.41,6.39,31.71,1.36
2015-01-19 00:00:00+00:00,31.85,31.85,35.17,35.17,31.6,39.74,32.07,31.6,0.01,31.6,32.07,47.74,0.01,35.17,5.76,31.6,0.01
2015-01-20 00:00:00+00:00,31.06,31.06,35.71,35.71,30.92,39.43,32.1,30.92,0.01,30.92,32.1,29.79,0.01,35.71,6.75,30.92,0.01
2015-01-21 00:00:00+00:00,30.55,30.55,35.79,35.79,30.75,39.13,32.12,30.75,0.01,30.75,32.12,48.59,0.01,35.79,6.64,30.75,0.01
2015-01-22 00:00:00+00:00,29.92,29.92,35.43,35.43,30.38,38.67,31.93,30.38,0.01,30.38,31.93,37.04,0.01,35.43,6.48,30.38,0.01
2015-01-23 00:00:00+00:00,29.22,29.22,34.86,34.86,29.73,38.17,31.57,29.73,0.01,29.73,31.57,37.82,0.01,34.86,6.21,29.73,0.01
2015-01-24 00:00:00+00:00,27.81,27.81,33.53,33.53,28.5,36.85,30.44,28.5,0.01,28.5,30.44,56.91,0.01,33.53,5.93,28.5,0.01
2015-01-25 00:00:00+00:00,27.63,27.63,33.45,33.45,28.48,36.46,30.44,28.48,0.01,28.48,30.44,56.87,5.17,33.45,5.65,28.48,0.01
2015-01-26 00:00:00+00:00,27.57,27.57,33.0,33.0,28.43,35.67,30.23,28.43,0.01,28.43,30.23,56.69,4.36,33.0,5.38,28.43,0.01
2015-01-27 00:00:00+00:00,28.45,28.45,33.52,33.52,29.68,38.04,31.52,29.68,0.01,29.68,31.52,36.26,8.04,33.52,7.33,29.68,0.01
2015-01-28 00:00:00+00:00,29.81,29.81,34.91,34.91,31.21,40.22,33.12,31.21,0.01,31.21,33.12,37.99,5.62,34.91,8.24,31.21,0.01
2015-01-29 00:00:00+00:00,32.19,32.19,37.74,37.74,33.76,43.62,35.95,33.76,0.01,33.76,35.95,31.74,2.95,37.74,9.53,33.76,0.01
2015-01-30 00:00:00+00:00,33.81,33.81,39.71,39.71,35.58,45.88,37.93,35.58,0.01,35.58,37.93,30.64,0.01,39.71,10.55,35.58,0.01
2015-01-31 00:00:00+00:00,33.98,33.98,39.7,39.7,35.73,46.27,38.26,35.73,0.19,35.73,38.26,35.52,0.01,39.7,11.15,35.73,0.19
2015-02-01 00:00:00+00:00,33.87,33.87,39.14,39.14,35.55,45.92,38.11,35.55,0.57,35.55,38.11,40.69,0.01,39.14,11.18,35.55,0.57
2015-02-02 00:00:00+00:00,33.71,33.71,38.36,38.36,35.53,45.16,37.66,35.53,0.37,35.53,37.66,38.44,0.01,38.36,10.48,35.53,0.37
2015-02-03 00:00:00+00:00,33.45,33.45,37.71,37.71,36.05,46.62,37.74,36.05,0.73,36.05,37.74,35.87,0.01,37.71,12.48,36.05,0.73
2015-02-04 00:00:00+00:00,31.64,31.64,36.28,36.28,35.51,45.44,36.27,35.51,0.7,35.51,36.27,0.01,0.01,36.28,12.41,35.51,0.7
2015-02-05 00:00:00+00:00,29.28,29.28,34.47,34.47,33.62,43.04,34.05,33.62,0.65,33.62,34.05,0.01,0.01,34.47,12.01,33.62,0.65
2015-02-06 00:00:00+00:00,27.67,27.67,33.21,33.21,32.44,41.61,32.34,32.44,0.61,32.44,32.34,13.52,0.01,33.21,11.9,32.44,0.61
2015-02-07 00:00:00+00:00,27.12,27.12,33.07,33.07,32.0,41.71,31.88,32.0,0.59,32.0,31.88,46.68,0.01,33.07,12.34,32.0,0.59
2015-02-08 00:00:00+00:00,26.98,26.98,33.31,33.31,31.84,42.1,31.9,31.84,0.44,31.84,31.9,55.61,3.37,33.31,12.1,31.84,0.44
2015-02-09 00:00:00+00:00,26.95,26.95,32.88,32.88,31.62,41.71,31.59,31.62,0.15,31.62,31.59,55.53,12.82,32.88,11.04,31.62,0.15
2015-02-10 00:00:00+00:00,27.27,27.27,33.26,33.26,32.1,43.76,32.17,32.1,0.75,32.1,32.17,50.98,18.5,33.26,12.86,32.1,0.75
2015-02-11 00:00:00+00:00,27.43,27.43,33.11,33.11,32.3,44.37,32.15,32.3,0.75,32.3,32.15,29.01,19.97,33.11,13.03,32.3,0.75
2015-02-12 00:00:00+00:00,27.38,27.38,33.22,33.22,32.26,44.58,31.92,32.26,0.74,32.26,31.92,18.06,17.8,33.22,13.19,32.26,0.74
2015-02-13 00:00:00+00:00,27.3,27.3,32.96,32.96,32.08,44.84,31.57,32.08,0.71,32.08,31.57,7.45,15.1,32.96,13.16,32.08,0.71
2015-02-14 00:00:00+00:00,27.15,27.15,32.56,32.56,31.65,45.25,31.16,31.65,0.82,31.65,31.16,18.02,17.36,32.56,13.07,31.65,0.82
2015-02-15 00:00:00+00:00,26.63,26.63,32.11,32.11,31.03,45.25,30.89,31.03,0.68,31.03,30.89,21.48,18.79,32.11,12.76,31.03,0.68
2015-02-16 00:00:00+00:00,26.27,26.27,31.64,31.64,30.58,44.64,30.63,30.58,0.41,30.58,30.63,21.84,24.47,31.64,12.1,30.58,0.41
2015-02-17 00:00:00+00:00,25.96,25.96,32.17,32.17,30.67,47.18,30.89,30.67,0.7,30.67,30.89,23.73,26.24,32.17,13.84,30.67,0.7
2015-02-18 00:00:00+00:00,25.47,25.47,31.88,31.88,30.15,47.93,30.5,30.15,0.41,30.15,30.5,43.5,27.17,31.88,13.88,30.15,0.41
2015-02-19 00:00:00+00:00,25.19,25.19,31.81,31.81,29.96,49.01,30.48,29.96,0.41,29.96,30.48,30.48,24.89,31.81,13.86,29.96,0.41
2015-02-20 00:00:00+00:00,25.02,25.02,32.0,32.0,29.94,49.78,30.51,29.94,0.41,29.94,30.51,21.73,25.86,32.0,13.81,29.94,0.41
2015-02-21 00:00:00+00:00,24.82,24.82,32.18,32.18,29.8,50.56,30.65,29.8,0.41,29.8,30.65,16.31,23.19,32.18,13.96,29.8,0.41
2015-02-22 00:00:00+00:00,24.46,24.46,31.92,31.92,29.49,50.86,30.5,29.49,0.14,29.49,30.5,20.91,25.76,31.92,13.62,29.49,0.14
2015-02-23 00:00:00+00:00,23.9,23.9,31.21,31.21,28.95,50.42,29.89,28.95,0.01,28.95,29.89,19.56,26.41,31.21,12.74,28.95,0.01
2015-02-24 00:00:00+00:00,23.8,23.8,31.61,31.61,29.31,50.76,30.32,29.31,0.01,29.31,30.32,21.76,22.56,31.61,14.04,29.31,0.01
2015-02-25 00:00:00+00:00,23.55,23.55,31.38,31.38,29.61,50.7,30.24,29.61,0.01,29.61,30.24,6.83,18.1,31.38,14.29,29.61,0.01
2015-02-26 00:00:00+00:00,23.31,23.31,31.34,31.34,30.0,50.71,30.28,30.0,0.01,30.0,30.28,4.93,16.13,31.34,14.64,30.0,0.01
2015-02-27 00:00:00+00:00,23.15,23.15,31.65,31.65,30.61,51.11,30.53,30.61,0.01,30.61,30.53,2.08,14.76,31.65,16.16,30.61,0.01
2015-02-28 00:00:00+00:00,22.74,22.74,31.52,31.52,31.04,51.17,30.75,31.04,0.01,31.04,30.75,25.59,14.46,31.52,18.08,31.04,0.01
2015-03-01 00:00:00+00:00,21.69,21.69,30.56,30.56,30.78,50.4,29.61,30.78,0.01,30.78,29.61,35.93,12.6,30.56,18.27,30.78,0.01
2015-03-02 00:00:00+00:00,20.85,20.85,29.74,29.74,30.55,49.85,28.88,30.55,0.01,30.55,28.88,33.76,17.8,29.74,17.49,30.55,0.01
2015-03-03 00:00:00+00:00,20.71,20.71,29.88,29.88,31.8,49.84,29.53,31.8,0.01,31.8,29.53,17.88,24.92,29.88,19.69,31.8,0.01
2015-03-04 00:00:00+00:00,20.12,20.12,29.51,29.51,32.14,49.48,29.46,32.14,0.01,32.14,29.46,20.81,25.54,29.51,20.15,32.14,0.01
2015-03-05 00:00:00+00:00,19.79,19.79,29.2,29.2,32.56,49.08,29.33,32.56,0.01,32.56,29.33,8.93,23.09,29.2,20.43,32.56,0.01
2015-03-06 00:00:00+00:00,19.38,19.38,28.72,28.72,32.69,48.46,28.95,32.69,0.01,32.69,28.95,2.92,26.54,28.72,20.88,32.69,0.01
2015-03-07 00:00:00+00:00,19.02,19.02,28.32,28.32,32.8,48.23,28.74,32.8,0.01,32.8,28.74,15.93,29.86,28.32,21.47,32.8,0.01
2015-03-08 00:00:00+00:00,18.91,18.91,28.18,28.18,33.04,48.75,28.73,33.04,0.01,33.04,28.73,37.07,28.0,28.18,21.5,33.04,0.01
2015-03-09 00:00:00+00:00,18.97,18.97,28.2,28.2,32.84,49.5,28.73,32.84,0.01,32.84,28.73,37.93,25.78,28.2,21.52,32.84,0.01
2015-03-10 00:00:00+00:00,18.9,18.9,28.69,28.69,32.88,49.26,29.03,32.88,0.01,32.88,29.03,36.16,17.92,28.69,21.85,32.88,0.01
2015-03-11 00:00:00+00:00,18.9,18.9,29.11,29.11,32.42,49.38,29.12,32.42,0.01,32.42,29.12,30.33,13.72,29.11,21.83,32.42,0.01
